subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160622a_3T1,2,2,2,188.0258891582489,Sem-sent,45,A woman is putting butter on the veggies.,1,4,"[[0.35, 1.1730948306740163, 0.9347986511789057], [0.7, 0.22301196400735318, -1.483329250001355], [1.0499999999999998, 1.1730948306740163, 0.9347986511789057], [1.4, 0.22301196400735318, -1.483329250001355]]",1,1,1.5835089683532715,1
FED_20160622a_3T1,2,2,2,190.02606415748596,Sem-sent,55,A man is putting a cactus on the window sill.,0,3,"[[0.4666666666666666, 1.966191257273803, -0.36618566304548605], [0.9333333333333332, -0.665969541937864, 1.8858644090207206], [1.4, 1.966191257273803, -0.36618566304548605]]",0,0,1.6502017974853516,1
FED_20160622a_3T1,2,2,2,194.02642703056335,Perc-sent,60,A woman is cutting a cucumber for the salad.,1,4,"[[0.35, -0.005382430416660578, -1.4999903431165182], [0.7, -1.2963385273619112, 0.7546564930331889], [1.0499999999999998, 1.3017209577785716, 0.7453338500833293], [1.4, -0.005382430416660578, -1.4999903431165182]]",0,0,1.6668751239776611,1
FED_20160622a_3T1,2,2,2,196.0266170501709,Perc-sent,80,A woman is putting strawberries on a dessert plate.,0,4,"[[0.35, 0.48112195437739647, -1.4207468687335103], [0.7, -1.4709638578591133, 0.29370959955751247], [1.0499999999999998, 0.9898419034817177, 1.1270372691759976], [1.4, -1.4709638578591133, 0.29370959955751247]]",0,0,1.766874074935913,1
FED_20160622a_3T1,2,2,2,198.02680706977844,Perc-sent,96,A man is sweeping the hardwood floor with a broom.,0,3,"[[0.4666666666666666, -1.9743005729615395, -0.31958918568020606], [0.9333333333333332, 0.7103779329069302, 1.8695890437309683], [1.4, -1.9743005729615395, -0.31958918568020606]]",1,1,1.6501929759979248,1
FED_20160622a_3T1,2,2,2,200.02698302268982,Perc-sent,98,A woman is adding sour cream to the soup.,1,3,"[[0.4666666666666666, -1.816218790661332, -0.8374660019658641], [0.9333333333333332, 0.1828425628224377, 1.991624612526297], [1.4, 1.6333762278388946, -1.1541586105604307]]",1,1,1.7002129554748535,1
FED_20160622a_3T1,2,2,2,202.0271761417389,Perc-sent,103,A man is pouring whiskey into a flask.,0,4,"[[0.35, 1.455412545269358, -0.3630073319818332], [0.7, -1.042079843890957, -1.0789205711989174], [1.0499999999999998, 1.455412545269358, -0.3630073319818332], [1.4, -0.4133327013783991, 1.4419279031807501]]",0,0,1.5835130214691162,1
FED_20160622a_3T1,2,2,2,204.02736115455627,Perc-sent,64,A woman is putting staples into the stapler.,0,4,"[[0.35, 0.36150174447083655, 1.4557872402052925], [0.7, -1.4414996047584403, -0.4148239258785107], [1.0499999999999998, 1.0799978602876037, -1.0409633143267816], [1.4, 0.36150174447083655, 1.4557872402052925]]",0,1,1.683534860610962,0
FED_20160622a_3T1,2,2,2,206.02753901481628,Perc-sent,95,A man is mowing the lawn.,1,4,"[[0.35, -1.4785475017433072, -0.2527791231265446], [0.7, 0.5203606086977131, 1.4068492587749923], [1.0499999999999998, -1.4785475017433072, -0.2527791231265446], [1.4, 0.5203606086977131, 1.4068492587749923]]",0,0,1.716871976852417,1
FED_20160622a_3T1,2,2,2,210.02791213989258,Sem-photo,9,A man is peeling a carrot.,1,3,"[[0.4666666666666666, 1.8126450675629553, -0.8451732716074789], [0.9333333333333332, -0.1743810099697943, 1.992383312357819], [1.4, -1.63826405759316, -1.1472100407503396]]",1,1,1.0834338665008545,1
FED_20160622a_3T1,2,2,2,212.02810406684875,Sem-photo,31,A woman is dipping a tortilla chip in salsa.,1,4,"[[0.35, 0.8927414459567825, 1.205409768780307], [0.7, 0.5975447587552809, -1.3758416555999797], [1.0499999999999998, 0.8927414459567825, 1.205409768780307], [1.4, -1.4902862047120635, 0.1704318868196731]]",1,1,1.200110912322998,1
FED_20160622a_3T1,2,2,2,214.02834916114807,Sem-photo,34,A woman is putting a crouton in a salad.,0,3,"[[0.4666666666666666, -1.714721678247772, 1.0294316714319331], [0.9333333333333332, -0.034153139796444285, -1.9997083694984237], [1.4, 1.7488748180442166, 0.9702766980664888]]",0,0,1.583441972732544,1
FED_20160622a_3T1,2,2,2,216.0285370349884,Sem-photo,44,A man is putting in some ear buds.,0,4,"[[0.35, 0.5126842667275708, 1.409664797975041], [0.7, -1.4771476592308295, -0.26083479988084723], [1.0499999999999998, 0.9644633925032584, -1.148829998094194], [1.4, 0.5126842667275708, 1.409664797975041]]",0,0,1.3834271430969238,1
FED_20160622a_3T1,2,2,2,218.0287230014801,Sem-photo,18,A man is putting some flowers in a vase.,0,3,"[[0.4666666666666666, -1.1574192838860438, -1.6310673196679277], [0.9333333333333332, 1.9912553760580411, -0.18682084284134032], [1.4, -0.8338360921719984, 1.8178881625092702]]",0,0,1.3167459964752197,1
FED_20160622a_3T1,2,2,2,220.02890801429749,Sem-photo,21,A man is cutting a piece of paper.,1,4,"[[0.35, -1.498817750733841, 0.059542842434248594], [0.7, 0.6978432612053262, -1.3277856689956835], [1.0499999999999998, -1.498817750733841, 0.059542842434248594], [1.4, 0.6978432612053262, -1.3277856689956835]]",1,1,1.2999670505523682,1
FED_20160622a_3T1,2,2,2,222.02910113334656,Sem-photo,27,A man is grating cheese.,1,4,"[[0.35, -0.4310057874703423, -1.4367442399978745], [0.7, -1.028754116843954, 1.091634081126371], [1.0499999999999998, 1.4597599043142968, 0.3451101588715044], [1.4, -1.028754116843954, 1.091634081126371]]",1,1,1.1833438873291016,1
FED_20160622a_3T1,2,2,2,226.02945613861084,Perc-photo,95,A woman straightening her hair.,0,4,"[[0.35, -0.3483655154653557, 1.4589864521764953], [0.7, 1.4377020890948526, -0.42779983989278986], [1.0499999999999998, -0.3483655154653557, 1.4589864521764953], [1.4, 1.4377020890948526, -0.42779983989278986]]",0,0,1.566788911819458,1
FED_20160622a_3T1,2,2,2,228.0296449661255,Perc-photo,85,A woman is putting on a hat.,0,4,"[[0.35, 0.4459612540864397, 1.4321726711027725], [0.7, 1.0173172887375963, -1.10230011069381], [1.0499999999999998, -1.4632785428240362, -0.32987256040896273], [1.4, 1.0173172887375963, -1.10230011069381]]",0,0,1.6334609985351562,1
FED_20160622a_3T1,2,2,2,230.02982711791992,Perc-photo,60,A woman is putting a CD into a disc drive.,0,3,"[[0.4666666666666666, 0.6142365030977375, 1.9033427222290429], [0.9333333333333332, -1.9554614011074483, -0.41972694550016126], [1.4, 0.6142365030977375, 1.9033427222290429]]",1,1,1.800158977508545,1
FED_20160622a_3T1,2,2,2,232.03001594543457,Perc-photo,88,A man is kissing a woman.,0,3,"[[0.4666666666666666, -1.1735003855739485, -1.6195359968391545], [0.9333333333333332, -0.815809122819089, 1.82604914367745], [1.4, 1.9893095083930368, -0.20651314683829333]]",1,1,1.7001361846923828,1
FED_20160622a_3T1,2,2,2,234.03020906448364,Perc-photo,96,A woman is ironing a sweater.,0,3,"[[0.4666666666666666, -1.5801307096337287, 1.2260452440560297], [0.9333333333333332, 1.8518516823584779, 0.755410713814727], [1.4, -1.5801307096337287, 1.2260452440560297]]",1,1,1.7668039798736572,1
